image,tile_x,tile_y,hue,saturation,value
23.jpg,0,0,25,245,180
23.jpg,1,0,40,232,141
23.jpg,2,0,42,203,49
23.jpg,3,0,40,239,128
23.jpg,4,0,107,253,138
23.jpg,0,1,26,251,195
23.jpg,1,1,38,239,132
23.jpg,2,1,42,230,145
23.jpg,3,1,44,236,136
23.jpg,4,1,26,250,184
23.jpg,0,2,23,113,51
23.jpg,1,2,23,137,108
23.jpg,2,2,23,135,77
23.jpg,3,2,45,160,51
23.jpg,4,2,26,248,186
23.jpg,0,3,22,116,57
23.jpg,1,3,24,115,55
23.jpg,2,3,26,247,195
23.jpg,3,3,34,188,61
23.jpg,4,3,23,126,118
23.jpg,0,4,26,249,200
23.jpg,1,4,26,246,197
23.jpg,2,4,26,250,195
23.jpg,3,4,26,250,192
23.jpg,4,4,26,246,181
24.jpg,0,0,104,247,181
24.jpg,1,0,105,252,191
24.jpg,2,0,105,252,190
24.jpg,3,0,105,251,182
24.jpg,4,0,105,252,186
24.jpg,0,1,42,186,68
24.jpg,1,1,23,130,126
24.jpg,2,1,39,212,166
24.jpg,3,1,42,183,65
24.jpg,4,1,105,245,155
24.jpg,0,2,23,98,52
24.jpg,1,2,23,126,132
24.jpg,2,2,28,119,100
24.jpg,3,2,44,140,60
24.jpg,4,2,105,238,155
24.jpg,0,3,24,58,47
24.jpg,1,3,23,58,44
24.jpg,2,3,43,199,159
24.jpg,3,3,38,217,149
24.jpg,4,3,105,238,151
24.jpg,0,4,26,233,205
24.jpg,1,4,25,230,197
24.jpg,2,4,26,231,202
24.jpg,3,4,26,246,201
24.jpg,4,4,26,238,199
25.jpg,0,0,19,111,184
25.jpg,1,0,106,237,202
25.jpg,2,0,106,234,162
25.jpg,3,0,106,222,163
25.jpg,4,0,26,231,203
25.jpg,0,1,19,127,179
25.jpg,1,1,46,132,70
25.jpg,2,1,45,158,68
25.jpg,3,1,106,244,184
25.jpg,4,1,26,234,197
25.jpg,0,2,106,233,204
25.jpg,1,2,37,148,78
25.jpg,2,2,29,60,140
25.jpg,3,2,106,248,184
25.jpg,4,2,26,232,206
25.jpg,0,3,105,235,183
25.jpg,1,3,42,163,67
25.jpg,2,3,23,105,138
25.jpg,3,3,24,99,59
25.jpg,4,3,26,239,206
25.jpg,0,4,42,200,164
25.jpg,1,4,35,153,77
25.jpg,2,4,22,117,73
25.jpg,3,4,23,51,43
25.jpg,4,4,26,228,200
26.jpg,0,0,48,155,55
26.jpg,1,0,48,161,58
26.jpg,2,0,48,147,54
26.jpg,3,0,50,120,53
26.jpg,4,0,106,254,182
26.jpg,0,1,35,163,67
26.jpg,1,1,26,238,198
26.jpg,2,1,44,147,62
26.jpg,3,1,51,120,57
26.jpg,4,1,106,254,186
26.jpg,0,2,24,62,46
26.jpg,1,2,26,234,201
26.jpg,2,2,28,89,144
26.jpg,3,2,50,102,60
26.jpg,4,2,106,237,151
26.jpg,0,3,26,229,203
26.jpg,1,3,26,236,203
26.jpg,2,3,37,148,70
26.jpg,3,3,47,138,59
26.jpg,4,3,106,247,179
26.jpg,0,4,105,236,157
26.jpg,1,4,105,251,198
26.jpg,2,4,105,252,197
26.jpg,3,4,106,252,195
26.jpg,4,4,106,251,186
27.jpg,0,0,43,207,160
27.jpg,1,0,44,202,155
27.jpg,2,0,26,239,195
27.jpg,3,0,26,241,191
27.jpg,4,0,26,239,190
27.jpg,0,1,107,242,149
27.jpg,1,1,40,215,130
27.jpg,2,1,38,212,135
27.jpg,3,1,26,247,194
27.jpg,4,1,45,150,56
27.jpg,0,2,105,251,185
27.jpg,1,2,38,212,142
27.jpg,2,2,22,56,134
27.jpg,3,2,26,241,194
27.jpg,4,2,35,147,60
27.jpg,0,3,38,218,143
27.jpg,1,3,43,208,162
27.jpg,2,3,26,229,197
27.jpg,3,3,26,236,185
27.jpg,4,3,42,135,57
27.jpg,0,4,26,241,201
27.jpg,1,4,45,207,158
27.jpg,2,4,38,113,70
27.jpg,3,4,43,121,65
27.jpg,4,4,48,104,66
28.jpg,0,0,22,81,49
28.jpg,1,0,24,89,59
28.jpg,2,0,26,234,206
28.jpg,3,0,26,230,201
28.jpg,4,0,22,99,142
28.jpg,0,1,22,123,134
28.jpg,1,1,22,127,126
28.jpg,2,1,42,223,162
28.jpg,3,1,41,212,157
28.jpg,4,1,43,151,63
28.jpg,0,2,22,145,135
28.jpg,1,2,24,104,138
28.jpg,2,2,23,110,125
28.jpg,3,2,40,202,163
28.jpg,4,2,33,53,140
28.jpg,0,3,22,137,125
28.jpg,1,3,22,121,124
28.jpg,2,3,24,56,143
28.jpg,3,3,44,191,156
28.jpg,4,3,42,203,156
28.jpg,0,4,26,244,201
28.jpg,1,4,26,238,200
28.jpg,2,4,26,227,199
28.jpg,3,4,26,229,198
28.jpg,4,4,26,232,191
29.jpg,0,0,26,233,197
29.jpg,1,0,26,236,193
29.jpg,2,0,26,235,201
29.jpg,3,0,26,242,202
29.jpg,4,0,26,230,196
29.jpg,0,1,105,226,155
29.jpg,1,1,105,249,175
29.jpg,2,1,105,250,170
29.jpg,3,1,24,98,49
29.jpg,4,1,24,55,40
29.jpg,0,2,105,239,152
29.jpg,1,2,46,157,60
29.jpg,2,2,34,85,77
29.jpg,3,2,24,113,128
29.jpg,4,2,22,130,82
29.jpg,0,3,105,242,192
29.jpg,1,3,46,133,66
29.jpg,2,3,38,152,74
29.jpg,3,3,42,163,64
29.jpg,4,3,35,158,74
29.jpg,0,4,20,110,182
29.jpg,1,4,20,129,176
29.jpg,2,4,105,238,195
29.jpg,3,4,104,237,171
29.jpg,4,4,42,202,161
3.jpg,0,0,22,145,98
3.jpg,1,0,25,243,168
3.jpg,2,0,43,166,46
3.jpg,3,0,47,136,39
3.jpg,4,0,48,143,39
3.jpg,0,1,26,249,185
3.jpg,1,1,26,237,183
3.jpg,2,1,38,122,52
3.jpg,3,1,50,132,40
3.jpg,4,1,49,143,42
3.jpg,0,2,24,64,36
3.jpg,1,2,25,239,172
3.jpg,2,2,30,66,110
3.jpg,3,2,45,153,40
3.jpg,4,2,106,250,137
3.jpg,0,3,26,248,188
3.jpg,1,3,35,180,55
3.jpg,2,3,43,189,44
3.jpg,3,3,36,180,49
3.jpg,4,3,107,253,151
3.jpg,0,4,106,252,159
3.jpg,1,4,106,254,164
3.jpg,2,4,106,252,150
3.jpg,3,4,45,168,44
3.jpg,4,4,106,249,118
30.jpg,0,0,48,163,53
30.jpg,1,0,48,161,56
30.jpg,2,0,48,150,52
30.jpg,3,0,50,123,52
30.jpg,4,0,106,254,174
30.jpg,0,1,35,168,64
30.jpg,1,1,26,241,193
30.jpg,2,1,42,133,69
30.jpg,3,1,52,129,53
30.jpg,4,1,106,255,178
30.jpg,0,2,25,67,45
30.jpg,1,2,26,235,196
30.jpg,2,2,29,140,90
30.jpg,3,2,51,106,53
30.jpg,4,2,105,240,144
30.jpg,0,3,26,230,199
30.jpg,1,3,26,238,199
30.jpg,2,3,37,162,68
30.jpg,3,3,48,143,57
30.jpg,4,3,105,250,172
30.jpg,0,4,105,239,150
30.jpg,1,4,105,252,189
30.jpg,2,4,105,254,188
30.jpg,3,4,105,254,187
30.jpg,4,4,106,252,178
31.jpg,0,0,43,210,158
31.jpg,1,0,44,207,152
31.jpg,2,0,26,241,192
31.jpg,3,0,26,243,189
31.jpg,4,0,26,240,188
31.jpg,0,1,106,244,144
31.jpg,1,1,40,219,129
31.jpg,2,1,39,205,126
31.jpg,3,1,26,247,192
31.jpg,4,1,45,151,56
31.jpg,0,2,105,252,178
31.jpg,1,2,38,215,139
31.jpg,2,2,24,118,83
31.jpg,3,2,26,241,191
31.jpg,4,2,36,151,60
31.jpg,0,3,39,222,143
31.jpg,1,3,43,210,161
31.jpg,2,3,26,230,195
31.jpg,3,3,26,237,184
31.jpg,4,3,42,139,58
31.jpg,0,4,26,241,200
31.jpg,1,4,45,208,157
31.jpg,2,4,39,116,70
31.jpg,3,4,43,121,64
31.jpg,4,4,48,107,67
32.jpg,0,0,22,93,53
32.jpg,1,0,24,89,52
32.jpg,2,0,26,236,203
32.jpg,3,0,26,233,199
32.jpg,4,0,23,103,140
